ward_id,year,driver_1_feature,driver_2_feature
83,2024,Green Cover Loss,Crime Rate
84,2024,Pending Complaints,Crime Rate
85,2024,Pending Complaints,Transit Access
125,2024,Transit Access,Crime Rate
101,2024,Price Surge,Pending Complaints
128,2024,Crime Rate,Pending Complaints
108,2024,Green Cover Loss,Transit Access
113,2024,Air Quality,Price Surge
114,2024,Pending Complaints,Crime Rate
139,2024,Crime Rate,Price Surge
115,2024,Price Surge,Transit Access
116,2024,Transit Access,Green Cover Loss
117,2024,Price Surge,Transit Access
120,2024,Green Cover Loss,Crime Rate
121,2024,Price Surge,Crime Rate
122,2024,Crime Rate,Air Quality
123,2024,Crime Rate,Pending Complaints
124,2024,Air Quality,Crime Rate
126,2024,Air Quality,Crime Rate
127,2024,Transit Access,Crime Rate
141,2024,Transit Access,Green Cover Loss
144,2024,Pending Complaints,Transit Access
154,2024,Price Surge,Pending Complaints
148,2024,Air Quality,Green Cover Loss
149,2024,Transit Access,Crime Rate
155,2024,Pending Complaints,Price Surge
150,2024,Pending Complaints,Transit Access
151,2024,Transit Access,Price Surge
152,2024,Green Cover Loss,Crime Rate
156,2024,Transit Access,Price Surge
157,2024,Price Surge,Air Quality
158,2024,Green Cover Loss,Transit Access
159,2024,Crime Rate,Pending Complaints
225,2024,Air Quality,Crime Rate
160,2024,Air Quality,Green Cover Loss
161,2024,Transit Access,Crime Rate
162,2024,Air Quality,Pending Complaints
177,2024,Green Cover Loss,Crime Rate
163,2024,Pending Complaints,Green Cover Loss
167,2024,Pending Complaints,Crime Rate
164,2024,Pending Complaints,Green Cover Loss
165,2024,Transit Access,Price Surge
166,2024,Pending Complaints,Price Surge
168,2024,Air Quality,Green Cover Loss
169,2024,Price Surge,Pending Complaints
170,2024,Pending Complaints,Green Cover Loss
171,2024,Green Cover Loss,Air Quality
175,2024,Air Quality,Price Surge
195,2024,Green Cover Loss,Price Surge
203,2024,Pending Complaints,Air Quality
204,2024,Green Cover Loss,Transit Access
206,2024,Transit Access,Price Surge
207,2024,Crime Rate,Air Quality
224,2024,Price Surge,Crime Rate
208,2024,Transit Access,Air Quality
209,2024,Transit Access,Price Surge
212,2024,Crime Rate,Transit Access
220,2024,Transit Access,Air Quality
222,2024,Price Surge,Crime Rate
7,2024,Crime Rate,Transit Access
62,2024,Crime Rate,Green Cover Loss
11,2024,Green Cover Loss,Air Quality
9,2024,Transit Access,Pending Complaints
100,2024,Air Quality,Crime Rate
90,2024,Pending Complaints,Green Cover Loss
136,2024,Pending Complaints,Green Cover Loss
88,2024,Air Quality,Price Surge
145,2024,Air Quality,Price Surge
118,2024,Pending Complaints,Crime Rate
119,2024,Crime Rate,Air Quality
59,2024,Transit Access,Pending Complaints
58,2024,Air Quality,Green Cover Loss
172,2024,Crime Rate,Green Cover Loss
129,2024,Air Quality,Transit Access
5,2024,Air Quality,Transit Access
202,2024,Crime Rate,Green Cover Loss
147,2024,Crime Rate,Air Quality
153,2024,Transit Access,Air Quality
146,2024,Crime Rate,Price Surge
187,2024,Crime Rate,Transit Access
184,2024,Green Cover Loss,Transit Access
176,2024,Price Surge,Pending Complaints
174,2024,Transit Access,Price Surge
173,2024,Green Cover Loss,Crime Rate
213,2024,Crime Rate,Pending Complaints
214,2024,Air Quality,Transit Access
215,2024,Transit Access,Crime Rate
216,2024,Transit Access,Air Quality
217,2024,Crime Rate,Price Surge
219,2024,Price Surge,Transit Access
218,2024,Crime Rate,Pending Complaints
2,2024,Air Quality,Transit Access
4,2024,Air Quality,Crime Rate
1,2024,Air Quality,Transit Access
65,2024,Pending Complaints,Crime Rate
10,2024,Transit Access,Green Cover Loss
14,2024,Pending Complaints,Crime Rate
13,2024,Crime Rate,Price Surge
12,2024,Air Quality,Green Cover Loss
8,2024,Air Quality,Price Surge
64,2024,Price Surge,Transit Access
46,2024,Price Surge,Transit Access
6,2024,Transit Access,Price Surge
91,2024,Pending Complaints,Transit Access
92,2024,Crime Rate,Pending Complaints
99,2024,Green Cover Loss,Air Quality
97,2024,Pending Complaints,Air Quality
72,2024,Pending Complaints,Air Quality
73,2024,Green Cover Loss,Price Surge
38,2024,Pending Complaints,Crime Rate
40,2024,Crime Rate,Transit Access
39,2024,Transit Access,Air Quality
47,2024,Crime Rate,Price Surge
49,2024,Pending Complaints,Crime Rate
48,2024,Air Quality,Transit Access
50,2024,Crime Rate,Green Cover Loss
109,2024,Air Quality,Green Cover Loss
110,2024,Air Quality,Pending Complaints
194,2024,Pending Complaints,Air Quality
221,2024,Pending Complaints,Transit Access
223,2024,Transit Access,Crime Rate
211,2024,Air Quality,Transit Access
178,2024,Green Cover Loss,Crime Rate
210,2024,Green Cover Loss,Pending Complaints
181,2024,Green Cover Loss,Air Quality
180,2024,Green Cover Loss,Pending Complaints
179,2024,Air Quality,Green Cover Loss
185,2024,Price Surge,Green Cover Loss
135,2024,Air Quality,Green Cover Loss
137,2024,Crime Rate,Green Cover Loss
196,2024,Pending Complaints,Crime Rate
140,2024,Pending Complaints,Green Cover Loss
142,2024,Crime Rate,Transit Access
143,2024,Transit Access,Pending Complaints
134,2024,Pending Complaints,Air Quality
198,2024,Transit Access,Crime Rate
199,2024,Crime Rate,Transit Access
200,2024,Air Quality,Pending Complaints
201,2024,Crime Rate,Transit Access
197,2024,Transit Access,Crime Rate
186,2024,Green Cover Loss,Crime Rate
183,2024,Pending Complaints,Transit Access
182,2024,Price Surge,Air Quality
131,2024,Air Quality,Crime Rate
132,2024,Pending Complaints,Price Surge
130,2024,Pending Complaints,Green Cover Loss
133,2024,Transit Access,Green Cover Loss
190,2024,Pending Complaints,Green Cover Loss
205,2024,Transit Access,Pending Complaints
98,2024,Pending Complaints,Transit Access
95,2024,Pending Complaints,Transit Access
103,2024,Crime Rate,Green Cover Loss
111,2024,Green Cover Loss,Transit Access
102,2024,Air Quality,Green Cover Loss
112,2024,Crime Rate,Green Cover Loss
107,2024,Crime Rate,Air Quality
104,2024,Green Cover Loss,Crime Rate
138,2024,Transit Access,Price Surge
106,2024,Price Surge,Pending Complaints
188,2024,Pending Complaints,Green Cover Loss
105,2024,Transit Access,Green Cover Loss
189,2024,Green Cover Loss,Air Quality
191,2024,Air Quality,Pending Complaints
192,2024,Crime Rate,Pending Complaints
193,2024,Transit Access,Crime Rate
